transaction_id,date,amount,description,company_name
QNC194DP,Thu May 30 15:55:09 IST 2024,528.35,Transaction from BranchA branch,Canara
Z67T0U0G,Thu May 30 15:55:09 IST 2024,282.66,Transaction from BranchA branch,Canara
2PHXL3QL,Thu May 30 15:55:09 IST 2024,901.14,Transaction from BranchA branch,Canara
B7Q9NVTB,Thu May 30 15:55:09 IST 2024,148.91,Transaction from BranchA branch,Canara
6071F7KM,Thu May 30 15:55:09 IST 2024,567.52,Transaction from BranchA branch,Canara
CJVWBFPN,Thu May 30 15:55:09 IST 2024,444.62,Transaction from BranchA branch,Canara
3Z98SVH2,Thu May 30 15:55:09 IST 2024,722.82,Transaction from BranchA branch,Canara
104MFC3P,Thu May 30 15:55:09 IST 2024,532.18,Transaction from BranchA branch,Canara
SXZ0FAC8,Thu May 30 15:55:09 IST 2024,510.82,Transaction from BranchA branch,Canara
K98G89CW,Thu May 30 15:55:09 IST 2024,32.19,Transaction from BranchA branch,Canara
